Date,Open,High,Low,Close,Adj Close,Volume
2015-07-13,40000.000000,41000.000000,40000.000000,40350.000000,36701.062500,1004000
2015-07-14,40450.000000,40650.000000,39925.000000,40000.000000,36382.710938,1293100
2015-07-15,40100.000000,40375.000000,40000.000000,40225.000000,36587.371094,1478900
2015-07-22,40300.000000,40375.000000,39900.000000,40025.000000,36405.449219,2140100
2015-07-23,40100.000000,40150.000000,39975.000000,40150.000000,36519.148438,2680900
2015-07-24,40150.000000,40375.000000,39875.000000,39975.000000,36359.980469,1467800
2015-07-27,39850.000000,40000.000000,39650.000000,39750.000000,36155.324219,1733500
2015-07-28,39800.000000,40100.000000,39500.000000,40000.000000,36382.710938,1226600
2015-07-29,40000.000000,40025.000000,39550.000000,39700.000000,36109.843750,1302300
2015-07-30,39700.000000,39700.000000,38100.000000,38500.000000,35018.367188,2564200
2015-07-31,38700.000000,40050.000000,38550.000000,40000.000000,36382.710938,2083400
2015-08-03,39250.000000,39250.000000,38725.000000,38875.000000,35359.453125,2204700
2015-08-04,38750.000000,38850.000000,38500.000000,38600.000000,35109.320313,1532300
2015-08-05,38600.000000,39200.000000,38550.000000,39200.000000,35655.062500,1426100
2015-08-06,39200.000000,39325.000000,38450.000000,38450.000000,34972.886719,1757600
2015-08-07,38725.000000,38925.000000,38250.000000,38700.000000,35200.277344,862000
2015-08-10,38700.000000,38700.000000,37775.000000,38450.000000,34972.886719,810200
2015-08-11,38500.000000,38600.000000,37025.000000,37250.000000,33881.402344,1664000
2015-08-12,37000.000000,37000.000000,35525.000000,35750.000000,32517.054688,2171400
2015-08-13,36150.000000,38700.000000,36000.000000,37100.000000,33744.968750,1791600
2015-08-14,37150.000000,37425.000000,36700.000000,36800.000000,33472.097656,1107300
2015-08-18,36700.000000,36800.000000,35800.000000,36625.000000,33312.925781,1946200
2015-08-19,36200.000000,36600.000000,35825.000000,35925.000000,32676.222656,1090400
2015-08-20,35950.000000,36000.000000,35600.000000,35775.000000,32539.791016,2168500
2015-08-21,35650.000000,36925.000000,35300.000000,35600.000000,32380.611328,1680800
2015-08-24,35000.000000,35000.000000,33000.000000,34000.000000,30925.310547,3731500
2015-08-25,34000.000000,37400.000000,33625.000000,37100.000000,33744.968750,2358500
2015-08-26,36250.000000,37000.000000,35750.000000,36250.000000,32971.835938,2530300
2015-08-27,36600.000000,39300.000000,36600.000000,38750.000000,35245.757813,2643600
2015-08-28,39000.000000,39700.000000,38000.000000,38000.000000,34563.578125,1442500
2015-08-31,39000.000000,40400.000000,38750.000000,39725.000000,36132.585938,2946600
2015-09-01,39475.000000,39475.000000,38375.000000,38925.000000,35404.933594,1246100
2015-09-02,37750.000000,38875.000000,37750.000000,38500.000000,35018.367188,1878300
2015-09-03,38750.000000,39000.000000,38175.000000,38475.000000,34995.628906,959800
2015-09-04,38475.000000,38975.000000,38475.000000,38950.000000,35427.667969,1207700
2015-09-07,38800.000000,39100.000000,37500.000000,38150.000000,34700.015625,981000
2015-09-08,38375.000000,38400.000000,37400.000000,37750.000000,34336.187500,1418600
2015-09-09,38000.000000,38325.000000,37650.000000,38000.000000,34563.578125,1036800
2015-09-10,37950.000000,38300.000000,37500.000000,37750.000000,34336.187500,827300
2015-09-11,38300.000000,38950.000000,38000.000000,38750.000000,35245.757813,1341600
2015-09-14,38900.000000,40250.000000,38900.000000,40250.000000,36610.105469,1394300
2015-09-15,40250.000000,40250.000000,38425.000000,39000.000000,35473.152344,2748400
2015-09-16,39075.000000,39175.000000,38425.000000,38425.000000,34950.148438,1494200
2015-09-17,38975.000000,39425.000000,38950.000000,39100.000000,35564.101563,1384800
2015-09-18,39150.000000,39550.000000,38300.000000,39100.000000,35564.101563,2175100
2015-09-21,38700.000000,39000.000000,38550.000000,39000.000000,35473.152344,513400
2015-09-22,38750.000000,39000.000000,37975.000000,38050.000000,34609.058594,1596000
2015-09-23,37800.000000,37800.000000,36950.000000,36950.000000,33608.535156,1248600
2015-09-25,36850.000000,36950.000000,35725.000000,36250.000000,32971.835938,1634700
2015-09-28,36250.000000,36500.000000,35525.000000,36100.000000,32835.402344,804900
2015-09-29,35750.000000,38150.000000,35350.000000,38000.000000,34563.578125,2092500
2015-09-30,38000.000000,38450.000000,37500.000000,38000.000000,34563.578125,2527800
2015-10-01,38000.000000,39200.000000,38000.000000,38800.000000,35291.238281,1349400
2015-10-02,38800.000000,38900.000000,37800.000000,37800.000000,34381.664063,1223300
